Group,Day,Time,Subject,Room
231-361,1,09:00-10:30,"Проектная деятельность (Практика)",БС
231-361,1,10:40-12:10,"Управление проектами (Практика)",ЛМС
231-361,2,10:40-12:10,"Основы проектирования бизнес-процессов и структур (Лаб.работа)",Пр2413
231-361,2,12:20-13:50,"Математический анализ (Практика)",Пр1012
231-361,2,14:30-16:00,"Навыки эффективной презентации (Лаб. работа)", Пр2303
231-361,3,12:20-13:50,"Основы тестирования, п/г 1 (Лаб. работа)",Пр2402
231-361,3,14:30-16:00,"Основы тестирования, п/г 1 (Лаб. работа)",Пр2402
231-361,3,17:50-19:20,"Общая физическая подготовка (Практика)","Спортзал"
231-361,4,09:00-10:30,"Прикладное программирование, п/г 1 (Лаб. работа)",Ав2217
231-361,4,09:00-10:30,"Основы тестирования, п/г 2 (Лаб. работа)",Пр2506
231-361,4,10:40-12:10,"Базы данных, п/г 1 (Лаб. работа)",Ав2217
231-361,4,10:40-12:10,"Основы тестирования, п/г 2 (Лаб. работа)",Пр2506
231-361,4,12:20-13:50,"Базы данных, п/г 1 (Лаб. работа)",Ав2217
231-361,4,12:20-13:50,"Основы тестирования, п/г 2 (Лаб. работа)",Пр2506
231-361,4,14:30-16:00,"Базы данных, п/г 1 (Лаб. работа)",Ав4806
231-361,5,00:00-23:59,"ВЫХОДНОЙ","Покушай тортик :)"
231-361,6,09:00-10:30,"Иностранный язык (Практика)","Ав5307, Ав5505, Ав5201, Ав5103"
231-361,6,10:40-12:10,"Иностранный язык (Практика)","Ав5307, Ав5505, Ав5201, Ав5103"
231-361,6,17:50-19:20,"Общая физическая подготовка (Практика)","Спортзал"
231-361,7,00:00-23:59,"ВЫХОДНОЙ","Покушай тортик :)"
231-362,1,09:00-10:30,"Проектная деятельность (Практика)",БС
231-362,1,10:40-12:10,"Управление проектами (Практика)",ЛМС
231-362,2,10:40-12:10,"Базы данных, п/г 1 (Лаб. работа)",Ав2216
231-362,2,12:20-13:50,"Базы данных, п/г 1 (Лаб. работа)",Ав2216
231-362,2,14:30-16:50,"Базы данных, п/г 2 (Лаб. работа)",Ав2216
231-362,2,16:10-17:40,"Базы данных, п/г 2 (Лаб. работа)",Ав2216
231-362,3,09:00-10:30,"Основы тестирования, п/г 1 (Лаб. работа)",Пр2503
231-362,3,10:40-12:10,"Основы тестирования, п/г 1 (Лаб. работа)",Пр2503
231-362,3,12:20-13:50,"Математический анализ (Практика)",Пр2411
231-362,3,14:30-16:00,"Математический анализ (Практика)",Пр2411
231-362,3,17:50-19:20,"Общая физическая подготовка (Практика)",Спортзал
231-362,4,14:30-16:00,"Основы тестирования, п/г 2 (Лаб. работа)",Пр2506
231-362,4,16:10-17:40,"Основы тестирования, п/г 2 (Лаб. работа)",Пр2506
231-362,5,09:00-10:30,"Базы данных, п/г 1 (Лаб. работа)",Ав1202
231-362,5,10:40-12:10,"Прикладное программирование, п/г 1 (Лаб. работа)",Ав1202
231-362,5,12:20-13:50,"Прикладное программирование, п/г 2 (Лаб. работа)",Ав1202
231-362,5,14:30-16:00,"Базы данных, п/г 2 (Лаб. работа)",Ав4810
231-362,6,09:00-10:30,"Иностранный язык (Практика)",Ав5307 Ав5505 Ав5201
231-362,6,10:40-12:10,"Иностранный язык (Практика)",Ав5307 Ав5505 Ав5201
231-362,6,12:20-13:50,"Базы данных, п/г 1 (Лаб. работа)",Ав4809
231-362,6,14:30-16:00,"Базы данных, п/г 1 (Лаб. работа)",Ав4809
231-362,6,17:50-19:20,"Общая физическая подготовка (Практика)",Спортзал
231-362,7,00:00-23:59,"ВЫХОДНОЙ",Покушай тортик :)
